City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Date,Wind Speed
0,Pedernales,18.0384,-71.744,77.36,73,43,DO,1675723491,9.33
1,Burnie,-41.0667,145.9167,62.94,57,6,AU,1675723491,4.74
2,Gemona,46.2794,13.1431,30.52,69,54,IT,1675723491,3.85
3,Busselton,-33.65,115.3333,67.33,72,98,AU,1675723492,10.54
4,Clyde River,70.4692,-68.5914,-27.17,68,20,CA,1675723492,8.05
5,Aklavik,68.2191,-135.0107,-29.2,68,40,CA,1675723493,3.44
6,Leskovik,40.1514,20.5972,19.26,68,28,AL,1675723493,5.28
7,Punta Arenas,-53.15,-70.9167,59.11,67,75,CL,1675723494,16.11
8,Puerto Ayora,-0.7393,-90.3518,84.16,73,53,EC,1675723494,11.01
9,Nikolskoye,59.7035,30.7861,26.49,98,91,RU,1675723494,3.31
10,Assiut,27.181,31.1837,48.38,42,81,EG,1675723495,7.47
11,Khatanga,71.9667,102.5,-41.48,100,56,RU,1675723495,3.09
12,Talnakh,69.4865,88.3972,-9.8,98,100,RU,1675723495,5.57
13,Ushuaia,-54.8,-68.3,53.22,87,75,AR,1675723296,12.66
14,Isangel,-19.55,169.2667,86.11,79,75,VU,1675723496,2.3
15,Kavaratti,10.5669,72.642,80.42,75,90,IN,1675723496,13.82
16,Port Alfred,-33.5906,26.891,73.18,93,100,ZA,1675723481,7.0
17,Dikson,73.5069,80.5464,-23.15,100,100,RU,1675723497,5.53
18,Katsuura,35.1333,140.3,50.45,67,100,JP,1675723497,7.54
19,Mataura,-46.1927,168.8643,63.3,64,70,NZ,1675723498,8.81
20,Cherskiy,68.75,161.3,-37.88,100,100,RU,1675723498,5.44
21,San Policarpo,12.1791,125.5072,79.59,79,74,PH,1675723498,13.85
22,Mahébourg,-20.4081,57.7,77.29,88,75,MU,1675723499,6.91
23,Cape Town,-33.9258,18.4232,70.88,89,40,ZA,1675723300,10.36
24,The Pas,53.8251,-101.2541,17.62,73,100,CA,1675723380,20.71
25,Bredasdorp,-34.5322,20.0403,69.21,93,68,ZA,1675723499,2.95
26,Kapaa,22.0752,-159.319,80.92,80,40,US,1675723500,13.8
27,Saldanha,-33.0117,17.9442,64.45,97,81,ZA,1675723500,13.47
28,Gigaquit,9.5944,125.6975,77.41,84,97,PH,1675723501,7.25
29,Alma,48.5501,-71.6491,8.73,66,31,CA,1675723501,3.11
30,Atuona,-9.8,-139.0333,78.51,76,14,PF,1675723502,12.57
31,Beringovskiy,63.05,179.3167,-16.62,92,96,RU,1675723502,8.66
32,Nanma,36.1817,118.1583,34.14,83,69,CN,1675723503,1.36
33,Hithadhoo,-0.6,73.0833,81.27,70,77,MV,1675723504,11.3
34,Lorengau,-2.0226,147.2712,77.09,94,100,PG,1675723506,10.83
35,Mayumba,-3.432,10.6554,77.41,84,84,GA,1675723506,1.25
36,Broome,42.2506,-75.833,32.16,81,100,US,1675723507,8.05
37,Puerto Ayacucho,5.6639,-67.6236,84.52,58,76,VE,1675723508,4.85
38,Lebanon,36.2081,-86.2911,62.82,29,0,US,1675722706,5.75
39,Falam,22.9167,93.6833,41.92,63,0,MM,1675723509,4.97
40,Saint-Philippe,-21.3585,55.7679,80.19,86,88,RE,1675723510,10.63
41,Hong Kong,22.2855,114.1577,68.95,90,92,HK,1675723403,5.01
42,Ilulissat,69.2167,-51.1,-2.18,78,100,GL,1675723511,8.05
43,Bambous Virieux,-20.3428,57.7575,77.25,88,75,MU,1675723304,6.91
44,Rikitea,-23.1203,-134.9692,79.34,74,65,PF,1675723514,10.42
45,Cortland,42.6001,-76.083,30.36,80,100,US,1675723515,3.44
46,Coquimbo,-29.9533,-71.3436,65.93,82,75,CL,1675723516,11.5
47,Riyadh,24.6877,46.7219,66.34,38,12,SA,1675723397,10.36
48,Kahului,20.8947,-156.47,81.97,72,20,US,1675723391,24.16
49,Ponta do Sol,32.6667,-17.1,59.72,65,22,PT,1675723517,9.48
50,Udachny,66.4167,112.4,-31.56,66,100,RU,1675723518,2.37
51,Okhtyrka,50.3104,34.8988,20.57,94,100,UA,1675723520,8.12
52,Grand Gaube,-20.0064,57.6608,77.4,81,82,MU,1675723294,1.99
53,San Jose de Guanipa,8.8872,-64.1651,81.0,54,72,VE,1675723520,12.84
54,Upernavik,72.7868,-56.1549,-9.18,95,100,GL,1675723521,6.98
55,Hobart,-42.8794,147.3294,63.27,58,20,AU,1675723522,5.75
56,Aiquile,-18.2041,-65.1807,58.78,86,67,BO,1675723522,3.78
57,Lompoc,34.6391,-120.4579,65.7,62,20,US,1675723374,16.11
58,Butaritari,3.0707,172.7902,81.34,79,75,KI,1675723523,20.33
